Employee_ID,Gender,Age,Performance_Score,,
171,Male,23,3,,
172,Male,22,2,,
173,Male,43,2,,
174,Female,26,5,,
175,Female,30,2,,
176,Female,48,3,,
177,Female,54,3,,
178,Male,25,4,,
179,Other,48,2,,
180,Female,53,2,,
181,Male,28,1,,
182,Male,57,2,,
183,Male,48,4,,
184,Female,32,5,,
185,Female,33,3,,
186,Female,57,4,,
187,Male,38,4,,
188,Female,43,2,,
189,Female,26,2,,
190,Female,41,1,,
191,Female,37,4,,
192,Female,36,2,,
193,Male,54,1,,
194,Female,45,2,,
195,Female,56,5,,
196,Female,39,5,,
197,Male,44,1,,
198,Female,55,5,,
199,Female,52,1,,
200,Male,27,1,,
201,Male,45,5,,
202,Female,54,3,,
203,Male,32,2,,
204,Male,52,2,,
205,Female,38,1,,
206,Male,50,2,,
207,Male,41,4,,
208,Female,40,1,,
209,Male,43,3,,
210,Male,42,2,,
211,Female,26,4,,
212,Male,36,2,,
213,Male,28,4,,
214,Female,32,5,,
215,Female,25,3,,
216,Female,30,3,,
217,Female,42,2,,
218,Female,22,4,,
219,Male,23,5,,
220,Male,52,4,,
221,Male,25,2,,
222,Male,50,5,,
223,Male,32,1,,
224,Female,55,4,,
225,Female,53,1,,
226,Female,44,5,,
227,Female,25,5,,
228,Female,57,2,,
229,Male,42,4,,
230,Female,39,5,,
231,Male,25,3,,
232,Female,27,3,,
233,Female,32,2,,
234,Female,57,4,,
235,Male,32,4,,
236,Female,39,5,,
237,Other,44,1,,
238,Male,28,4,,
239,Female,42,4,,
240,Female,27,4,,
241,Male,60,3,,
242,Male,42,1,,
243,Male,33,2,,
244,Female,47,2,,
245,Female,45,5,,
246,Female,32,4,,
247,Female,24,4,,
248,Female,43,2,,
249,Male,32,3,,
250,Male,35,3,,
251,Male,56,2,,
252,Male,35,1,,
253,Male,34,3,,
254,Female,30,4,,
255,Other,46,1,,
256,Male,34,4,,
257,Female,45,2,,
258,Female,31,3,,
259,Male,26,5,,
260,Male,40,2,,
261,Male,46,2,,
262,Female,32,1,,
263,Female,26,2,,
264,Male,52,4,,
265,Other,26,4,,
266,Female,34,5,,
267,Male,31,1,,
268,Female,54,2,,
269,Male,39,2,,
270,Female,52,3,,
271,Male,39,3,,
272,Male,31,1,,
273,Female,44,5,,
274,Other,25,1,,
275,Male,26,4,,
276,Male,56,4,,
277,Male,27,4,,
278,Female,59,3,,
279,Male,34,3,,
280,Male,54,2,,
281,Female,57,1,,
282,Female,43,5,,
283,Male,36,3,,
284,Female,41,4,,
285,Female,38,3,,
286,Female,40,1,,
287,Female,22,4,,
288,Male,34,5,,
289,Female,58,5,,
290,Male,42,4,,
291,Male,40,4,,
292,Male,56,3,,
293,Male,51,3,,
294,Female,22,4,,
295,Male,48,4,,
296,Female,40,3,,
297,Female,36,4,,
298,Female,30,1,,
299,Other,22,2,,
300,Female,53,2,,
301,Male,34,2,,
302,Female,23,5,,
303,Female,57,5,,
304,Male,24,1,,
305,Male,46,1,,
306,Female,51,5,,
307,Female,46,1,,
308,Female,58,1,,
309,Female,24,2,,
310,Female,35,2,,
311,Female,46,3,,
312,Male,34,3,,
313,Male,47,1,,
314,Male,54,4,,
315,Female,43,2,,
316,Male,42,4,,
317,Male,23,2,,
318,Female,27,1,,
319,Female,22,3,,
320,Female,45,3,,
321,Female,36,1,,
322,Female,23,1,,
323,Male,26,5,,
324,Female,34,1,,
325,Male,24,4,,
326,Male,57,4,,
327,Female,46,4,,
328,Female,22,5,,
329,Other,53,2,,
330,Female,27,4,,
331,Other,34,5,,
332,Female,50,4,,
333,Female,31,4,,
334,Male,38,2,,
335,Female,33,5,,
336,Female,28,2,,
337,Male,35,1,,
338,Female,55,1,,
339,Male,60,3,,
340,Female,45,4,,
341,Male,43,1,,
342,Male,31,2,,
343,Female,29,5,,
344,Female,27,3,,
345,Female,56,4,,
346,Female,58,3,,
347,Female,54,3,,
348,Male,48,3,,
349,Male,31,4,,
350,Female,43,2,,
351,Female,26,4,,
352,Male,43,1,,
353,Female,25,3,,
354,Female,44,2,,
355,Male,46,5,,
356,Female,27,1,,
357,Female,53,4,,
358,Female,32,5,,
359,Male,36,3,,
360,Male,52,2,,
361,Male,50,2,,
362,Female,38,4,,
363,Female,30,5,,
364,Female,37,5,,
365,Male,40,3,,
366,Male,45,3,,
367,Female,42,1,,
368,Male,39,4,,
369,Female,28,3,,
370,Other,30,4,,
371,Male,32,3,,
372,Male,50,5,,
373,Female,27,1,,
374,Female,32,3,,
375,Female,37,4,,
376,Female,43,1,,
377,Male,28,2,,
378,Female,33,4,,
379,Female,53,1,,
380,Female,44,1,,
381,Female,26,3,,
382,Male,42,1,,
383,Male,36,3,,
384,Female,34,3,,
385,Female,52,3,,
386,Male,31,3,,
387,Male,26,5,,
388,Female,43,2,,
389,Female,60,4,,
390,Female,23,2,,
391,Male,33,3,,
392,Male,25,3,,
393,Male,35,3,,
394,Female,31,4,,
395,Female,34,4,,
396,Female,39,1,,
397,Male,35,4,,
398,Male,41,4,,
399,Male,25,1,,
400,Other,31,2,,
401,Female,54,3,,
402,Female,58,2,,
403,Male,39,4,,
404,Male,25,3,,
405,Female,27,5,,
406,Male,41,3,,
407,Male,40,2,,
408,Male,30,3,,
409,Male,52,2,,
410,Female,38,2,,
411,Male,50,5,,
412,Male,29,5,,
413,Male,22,1,,
414,Male,29,4,,
415,Other,33,5,,
416,Female,30,2,,
417,Male,42,2,,
418,Male,42,3,,
419,Female,42,5,,
420,Male,38,4,,
421,Female,37,5,,
422,Male,52,3,,
423,Male,51,1,,
424,Female,31,4,,
425,Female,30,2,,
426,Female,45,2,,
427,Female,22,5,,
428,Female,48,4,,
429,Male,25,2,,
430,Male,50,2,,
431,Female,57,2,,
432,Female,23,4,,
433,Female,40,1,,
434,Female,50,4,,
435,Male,45,3,,
436,Male,45,4,,
437,Male,51,3,,
438,Female,23,5,,
439,Male,35,1,,
440,Male,48,5,,
441,Male,39,5,,
442,Male,49,2,,
443,Male,28,4,,
444,Male,30,4,,
445,Male,39,4,,
446,Other,56,4,,
447,Female,23,4,,
448,Female,30,2,,
449,Female,47,4,,
450,Male,53,4,,
451,Female,49,1,,
452,Female,47,2,,
453,Male,36,1,,
454,Female,31,5,,
455,Male,33,4,,
456,Male,23,5,,
457,Female,35,2,,
458,Female,52,4,,
459,Male,39,4,,
460,Female,59,2,,
461,Male,28,3,,
462,Male,60,1,,
463,Male,26,4,,
464,Female,37,3,,
465,Male,40,3,,
466,Male,47,3,,
467,Male,50,5,,
468,Male,56,5,,
469,Male,39,2,,
470,Male,36,5,,
471,Female,47,4,,
472,Female,47,4,,
473,Female,27,4,,
474,Male,32,4,,
475,Female,29,4,,
476,Female,39,3,,
477,Male,26,3,,
478,Male,39,1,,
479,Male,32,2,,
480,Male,37,5,,
481,Male,57,4,,
482,Female,52,3,,
483,Male,55,3,,
484,Female,58,1,,
485,Male,37,5,,
486,Male,59,3,,
487,Male,43,5,,
488,Male,41,1,,
489,Female,48,2,,
490,Female,42,4,,
491,Female,51,1,,
492,Male,36,3,,
493,Male,22,1,,
494,Other,48,4,,
495,Male,41,2,,
496,Female,50,4,,
497,Male,27,2,,
498,Male,35,4,,
499,Female,27,3,,
500,Male,27,5,,
501,Female,31,5,,
502,Male,57,2,,
503,Male,40,2,,
504,Female,36,4,,
505,Female,58,1,,
506,Other,56,5,,
507,Other,36,5,,
508,Male,49,1,,
509,Male,35,1,,
510,Male,57,1,,
511,Female,50,5,,
512,Female,46,2,,
513,Male,35,2,,
514,Male,36,2,,
515,Male,50,3,,
516,Female,46,5,,
517,Male,55,4,,
518,Female,27,1,,
519,Male,39,5,,
520,Female,43,1,,
521,Male,24,2,,
522,Female,52,1,,
523,Female,49,5,,
524,Female,27,4,,
525,Male,59,5,,
526,Male,31,1,,
527,Male,52,4,,
528,Female,28,1,,
529,Male,32,3,,
530,Male,27,2,,
531,Male,37,2,,
532,Female,30,3,,
533,Male,34,2,,
534,Female,45,4,,
535,Male,29,2,,
536,Female,45,1,,
537,Female,46,2,,
538,Male,35,3,,
539,Female,46,5,,
540,Female,55,4,,
541,Female,52,2,,
542,Female,35,3,,
543,Other,38,1,,
544,Female,35,2,,
545,Male,39,1,,
546,Female,33,1,,
547,Male,52,1,,
548,Other,58,3,,
549,Female,48,1,,
550,Male,31,2,,
551,Female,31,2,,
552,Female,45,3,,
553,Female,24,2,,
554,Male,60,5,,
555,Male,24,1,,
556,Male,60,5,,
557,Female,51,2,,
558,Female,48,5,,
559,Female,54,2,,
560,Female,29,1,,
561,Female,46,1,,
562,Female,56,1,,
563,Male,56,1,,
564,Female,57,3,,
565,Female,35,3,,
566,Male,33,5,,
567,Female,26,5,,
568,Female,28,4,,
569,Female,55,5,,
570,Male,46,4,,
571,Male,35,4,,
572,Female,32,1,,
573,Female,26,2,,
574,Female,35,4,,
575,Female,41,5,,
576,Male,50,5,,
577,Male,25,4,,
578,Male,40,3,,
579,Female,37,1,,
580,Female,52,2,,
581,Male,54,3,,
582,Male,54,2,,
583,Male,34,5,,
584,Male,39,1,,
585,Female,59,3,,
586,Female,53,4,,
587,Male,49,2,,
588,Male,59,1,,
589,Female,36,1,,
590,Male,43,5,,
591,Male,27,1,,
592,Male,54,5,,
593,Female,29,3,,
594,Male,33,4,,
595,Male,35,1,,
596,Female,43,4,,
597,Male,40,3,,
598,Female,27,5,,
599,Female,39,3,,
600,Male,34,5,,
601,Other,27,3,,
602,Male,27,5,,
603,Female,46,1,,
604,Male,28,2,,
605,Male,41,5,,
606,Female,35,4,,
607,Female,43,2,,
608,Male,42,1,,
609,Female,43,1,,
610,Male,30,1,,
611,Female,42,1,,
612,Male,42,5,,
613,Male,56,3,,
614,Female,41,3,,
615,Male,24,2,,
616,Male,26,4,,
617,Female,36,2,,
618,Male,56,1,,
619,Female,40,2,,
620,Female,56,1,,
621,Male,40,4,,
622,Female,35,1,,
623,Male,33,4,,
624,Male,42,5,,
625,Female,51,5,,
626,Male,49,1,,
627,Female,26,3,,
628,Female,33,5,,
629,Female,35,5,,
630,Female,35,3,,
631,Female,48,1,,
632,Female,35,2,,
633,Female,35,3,,
634,Male,51,5,,
635,Male,33,1,,
636,Female,37,5,,
637,Other,47,4,,
638,Male,42,2,,
639,Female,29,5,,
640,Male,53,4,,
641,Male,43,2,,
642,Male,35,4,,
643,Male,37,4,,
644,Male,30,2,,
645,Female,59,2,,
646,Female,39,4,,
647,Male,22,5,,
648,Male,30,4,,
649,Female,31,4,,
650,Male,44,2,,
651,Female,29,3,,
652,Male,33,1,,
653,Male,39,1,,
654,Male,39,1,,
655,Male,27,5,,
656,Female,59,2,,
657,Female,39,4,,
658,Male,35,1,,
659,Female,33,5,,
660,Female,55,4,,
661,Male,43,3,,
662,Male,46,1,,
663,Female,47,1,,
664,Male,47,3,,
665,Female,37,5,,
666,Female,37,4,,
667,Male,59,1,,
668,Male,45,1,,
669,Female,43,1,,
670,Male,47,1,,
671,Male,46,2,,
672,Female,56,3,,
673,Female,53,5,,
674,Female,50,2,,
675,Female,53,2,,
676,Male,52,3,,
677,Male,46,3,,
678,Female,25,2,,
679,Other,60,3,,
680,Male,44,2,,
681,Male,39,1,,
682,Male,51,2,,
683,Male,46,5,,
684,Female,45,4,,
685,Female,37,5,,
686,Male,51,1,,
687,Female,52,4,,
688,Male,32,1,,
689,Male,58,3,,
690,Male,48,4,,
691,Male,54,2,,
692,Male,23,4,,
693,Male,50,1,,
694,Male,27,1,,
695,Male,24,5,,
696,Male,41,3,,
697,Male,33,1,,
698,Male,57,2,,
699,Female,42,4,,
700,Male,57,2,,
701,Female,44,5,,
702,Male,26,4,,
703,Male,51,3,,
704,Male,38,4,,
705,Male,26,1,,
706,Male,22,2,,
707,Male,40,4,,
708,Male,55,5,,
709,Female,60,5,,
710,Female,40,4,,
711,Female,46,4,,
712,Female,57,3,,
713,Male,39,5,,
714,Male,44,4,,
715,Female,33,3,,
716,Male,49,4,,
717,Female,42,1,,
718,Other,48,3,,
719,Male,35,2,,
720,Male,27,3,,
721,Male,46,1,,
722,Male,37,4,,
723,Male,52,1,,
724,Male,29,2,,
725,Female,60,3,,
726,Female,60,3,,
727,Male,42,2,,
728,Female,43,4,,
729,Female,24,3,,
730,Female,26,2,,
731,Male,29,4,,
732,Male,52,3,,
733,Other,51,4,,
734,Male,47,5,,
735,Male,42,4,,
736,Female,42,1,,
737,Female,33,2,,
738,Female,32,3,,
739,Female,45,3,,
740,Male,25,3,,
741,Female,54,5,,
742,Male,55,5,,
743,Male,31,5,,
744,Female,51,4,,
745,Female,30,4,,
746,Male,39,4,,
747,Female,60,5,,
748,Male,53,2,,
749,Male,48,1,,
750,Female,37,2,,
751,Female,39,3,,
752,Female,45,1,,
753,Male,60,1,,
754,Female,59,2,,
755,Female,23,2,,
756,Male,59,1,,
757,Female,49,2,,
758,Male,58,5,,
759,Male,27,2,,
760,Male,42,5,,
761,Female,44,3,,
762,Male,50,5,,
763,Female,57,2,,
764,Male,44,5,,
765,Male,29,1,,
766,Female,33,5,,
767,Male,34,5,,
768,Female,26,2,,
769,Female,43,4,,
770,Female,60,3,,
771,Male,45,1,,
772,Male,44,5,,
773,Other,39,3,,
774,Male,49,2,,
775,Female,52,3,,
776,Female,27,1,,
777,Female,42,2,,
778,Female,30,4,,
779,Female,55,3,,
780,Male,29,5,,
781,Other,28,4,,
782,Female,43,2,,
783,Female,29,2,,
784,Female,33,2,,
785,Female,48,1,,
786,Female,56,2,,
787,Male,32,3,,
788,Female,44,4,,
789,Female,39,5,,
790,Female,51,3,,
791,Male,48,3,,
792,Male,36,2,,
793,Female,39,4,,
794,Female,33,4,,
795,Female,22,1,,
796,Female,35,2,,
797,Male,49,2,,
798,Male,41,3,,
799,Male,54,1,,
800,Female,27,4,,
801,Male,27,1,,
802,Male,46,2,,
803,Female,33,5,,
804,Female,45,5,,
805,Male,28,2,,
806,Male,60,1,,
807,Male,55,3,,
808,Female,44,4,,
809,Male,44,1,,
810,Female,30,3,,
811,Female,24,1,,
812,Male,27,3,,
813,Male,24,3,,
814,Female,31,3,,
815,Female,26,4,,
816,Female,54,1,,
817,Male,51,5,,
818,Male,44,4,,
819,Male,32,5,,
820,Male,31,1,,
821,Male,25,4,,
822,Male,32,5,,
823,Female,54,5,,
824,Female,29,2,,
825,Male,22,5,,
826,Male,59,4,,
827,Female,58,3,,
828,Female,51,4,,
829,Female,48,1,,
830,Female,28,3,,
831,Female,47,1,,
832,Female,37,2,,
833,Male,34,1,,
834,Male,52,4,,
835,Female,60,5,,
836,Male,38,3,,
837,Male,30,4,,
838,Female,47,5,,
839,Female,37,1,,
840,Female,44,1,,
841,Male,39,1,,
842,Male,42,1,,
843,Female,29,5,,
844,Female,53,3,,
845,Male,59,5,,
846,Male,37,2,,
847,Male,30,3,,
848,Male,40,4,,
849,Male,38,1,,
850,Female,53,3,,
851,Female,35,3,,
852,Female,54,4,,
853,Other,40,1,,
854,Female,44,4,,
855,Female,45,1,,
856,Female,59,5,,
857,Male,33,4,,
858,Female,24,3,,
859,Male,56,3,,
860,Male,42,4,,
861,Female,59,1,,
862,Female,44,4,,
863,Male,37,5,,
864,Female,50,1,,
865,Male,35,4,,
866,Male,25,4,,
867,Male,32,3,,
868,Male,26,3,,
869,Female,54,1,,
870,Female,45,2,,
871,Male,33,1,,
872,Female,57,1,,
873,Female,51,1,,
874,Male,38,4,,
875,Female,34,5,,
876,Female,22,1,,
877,Female,37,4,,
878,Female,56,5,,
879,Female,52,1,,
880,Male,22,1,,
881,Female,23,4,,
882,Male,48,4,,
883,Male,44,5,,
884,Female,36,4,,
885,Female,26,4,,
886,Male,53,4,,
887,Male,45,1,,
888,Female,46,3,,
889,Male,27,4,,
890,Female,43,3,,
891,Male,23,4,,
892,Male,49,1,,
893,Male,57,3,,
894,Female,23,2,,
895,Male,34,4,,
896,Male,39,1,,
897,Female,52,5,,
898,Female,50,3,,
899,Female,60,2,,
900,Male,40,2,,
901,Male,57,3,,
902,Female,55,1,,
903,Female,50,4,,
904,Female,55,2,,
905,Female,55,5,,
906,Female,40,1,,
907,Male,53,2,,
908,Other,36,5,,
909,Female,60,2,,
910,Female,46,1,,
911,Male,47,4,,
912,Male,47,4,,
913,Male,30,1,,
914,Female,40,2,,
915,Female,40,1,,
916,Male,24,3,,
917,Female,28,2,,
918,Female,28,4,,
919,Male,45,3,,
920,Male,37,1,,
921,Female,24,3,,
922,Male,54,3,,
923,Male,40,1,,
924,Male,23,3,,
925,Other,29,5,,
926,Male,43,4,,
927,Male,49,5,,
928,Female,39,5,,
929,Female,36,1,,
930,Female,32,2,,
931,Male,48,5,,
932,Female,54,5,,
933,Female,27,5,,
934,Female,54,2,,
935,Female,35,4,,
936,Female,57,3,,
937,Male,24,1,,
938,Female,52,4,,
939,Male,59,4,,
940,Male,56,3,,
941,Male,47,3,,
942,Male,54,4,,
943,Male,55,1,,
944,Female,43,1,,
945,Male,57,1,,
946,Male,22,1,,
947,Female,55,2,,
948,Female,38,3,,
949,Female,58,2,,
950,Male,23,3,,
951,Male,38,2,,
952,Female,30,1,,
953,Male,46,1,,
954,Male,31,5,,
955,Female,60,5,,
956,Female,41,1,,
957,Male,57,3,,
958,Male,60,3,,
959,Female,25,2,,
960,Female,53,4,,
961,Male,34,4,,
962,Male,22,3,,
963,Female,30,4,,
964,Male,41,4,,
965,Female,42,1,,
966,Male,59,5,,
967,Female,26,1,,
968,Male,30,2,,
969,Female,57,5,,
970,Female,60,2,,
971,Female,40,4,,
972,Female,34,4,,
973,Male,60,3,,
974,Male,52,5,,
975,Male,44,4,,
976,Male,57,3,,
977,Female,25,4,,
978,Female,41,2,,
979,Female,43,5,,
980,Female,44,5,,
981,Male,24,5,,
982,Male,51,3,,
983,Female,52,1,,
984,Female,37,3,,
985,Other,53,5,,
986,Female,56,1,,
987,Male,35,5,,
988,Male,29,3,,
989,Male,42,2,,
990,Male,42,1,,
991,Male,46,2,,
992,Female,38,3,,
993,Female,44,4,,
994,Male,41,3,,
995,Female,50,5,,
996,Male,22,4,,
997,Female,54,3,,
998,Male,23,4,,
999,Female,40,3,,
1000,Female,28,1,,
1001,Female,37,3,,
1002,Female,52,4,,
1003,Male,45,2,,
1004,Male,35,2,,
1005,Female,29,1,,
1006,Male,33,1,,
1007,Male,25,3,,
1008,Male,39,4,,
1009,Female,52,4,,
1010,Other,51,4,,
1011,Male,49,2,,
1012,Female,53,2,,
1013,Female,60,2,,
1014,Male,57,3,,
1015,Male,22,2,,
1016,Male,45,5,,
1017,Male,33,2,,
1018,Female,50,3,,
1019,Female,43,1,,
1020,Female,45,5,,
1021,Female,24,4,,
1022,Female,42,2,,
1023,Female,54,3,,
1024,Female,33,2,,
1025,Female,36,2,,
1026,Female,26,5,,
1027,Male,51,1,,
1028,Female,49,2,,
1029,Male,22,4,,
1030,Female,56,4,,
1031,Male,47,1,,
1032,Female,53,5,,
1033,Male,43,4,,
1034,Male,26,2,,
1035,Male,48,4,,
1036,Female,50,4,,
1037,Male,50,5,,
1038,Female,54,2,,
1039,Male,47,2,,
1040,Female,48,2,,
1041,Female,36,1,,
1042,Female,58,1,,
1043,Female,43,2,,
1044,Male,38,5,,
1045,Female,52,3,,
1046,Female,51,2,,
1047,Other,43,3,,
1048,Female,36,1,,
1049,Male,36,4,,
1050,Female,41,5,,
1051,Male,37,2,,
1052,Male,50,3,,
1053,Female,35,4,,
1054,Female,31,3,,
1055,Female,45,3,,
1056,Male,30,4,,
1057,Male,39,2,,
1058,Male,42,4,,
1059,Male,36,2,,
1060,Female,53,2,,
1061,Female,35,4,,
1062,Male,39,5,,
1063,Other,48,3,,
1064,Male,40,4,,
1065,Male,31,3,,
1066,Female,59,5,,
1067,Female,49,3,,
1068,Male,43,4,,
1069,Female,29,2,,
1070,Male,55,4,,
1071,Male,52,2,,
1072,Female,54,2,,
1073,Female,43,1,,
1074,Female,42,2,,
1075,Male,51,2,,
1076,Female,24,3,,
1077,Female,26,3,,
1078,Female,52,4,,
1079,Female,57,3,,
1080,Other,45,2,,
1081,Male,59,4,,
1082,Male,59,5,,
1083,Male,30,2,,
1084,Other,34,1,,
1085,Male,56,2,,
1086,Female,37,4,,
1087,Other,55,2,,
1088,Male,50,4,,
1089,Female,51,3,,
1090,Male,26,2,,
1091,Male,55,5,,
1092,Male,46,1,,
1093,Female,50,4,,
1094,Male,42,5,,
1095,Male,52,1,,
1096,Female,34,5,,
1097,Male,59,5,,
1098,Female,55,1,,
1099,Female,23,2,,
1100,Male,48,3,,
1101,Male,47,5,,
1102,Female,47,3,,
1103,Male,30,4,,
1104,Female,54,2,,
1105,Male,31,3,,
1106,Female,60,3,,
1107,Male,25,2,,
1108,Male,48,3,,
1109,Female,53,4,,
1110,Male,27,3,,
1111,Male,28,3,,
1112,Female,31,2,,
1113,Female,45,3,,
1114,Female,55,4,,
1115,Male,26,3,,
1116,Male,55,1,,
1117,Female,26,2,,
1118,Female,49,4,,
1119,Male,49,5,,
1120,Female,34,5,,
1121,Female,54,2,,
1122,Female,51,4,,
1123,Male,31,2,,
1124,Female,39,2,,
1125,Female,29,5,,
1126,Female,49,2,,
1127,Male,31,1,,
1128,Male,47,4,,
1129,Female,22,3,,
1130,Female,32,1,,
1131,Female,59,3,,
1132,Female,58,2,,
1133,Female,55,5,,
1134,Female,42,3,,
1135,Other,43,5,,
1136,Male,22,4,,
1137,Female,35,2,,
1138,Male,49,5,,
1139,Female,59,1,,
1140,Male,47,2,,
1141,Other,41,2,,
1142,Male,29,1,,
1143,Female,25,2,,
1144,Male,43,5,,
1145,Female,33,4,,
1146,Male,25,1,,
1147,Female,58,5,,
1148,Male,41,2,,
1149,Male,38,1,,
1150,Male,25,2,,
1151,Male,25,2,,
1152,Female,47,2,,
1153,Female,38,1,,
1154,Female,39,2,,
1155,Male,30,4,,
1156,Male,52,3,,
1157,Male,56,4,,
1158,Male,47,2,,
1159,Male,24,4,,
1160,Female,59,1,,
1161,Female,30,1,,
1162,Male,56,3,,
1163,Male,43,4,,
1164,Male,51,5,,
1165,Female,50,5,,
1166,Female,54,3,,
1167,Female,46,2,,
1168,Female,23,5,,
1169,Male,25,2,,
1170,Female,59,3,,
1171,Male,50,3,,
1172,Male,31,4,,
1173,Female,39,5,,
1174,Other,40,5,,
1175,Male,35,4,,
1176,Female,25,4,,
1177,Female,34,3,,
1178,Female,43,2,,
1179,Female,58,5,,
1180,Male,59,3,,
1181,Male,33,3,,
1182,Male,35,4,,
1183,Male,54,2,,
1184,Male,32,1,,
1185,Female,46,2,,
1186,Male,33,3,,
1187,Female,23,5,,
1188,Male,59,3,,
1189,Female,31,2,,
1190,Other,43,5,,
1191,Female,32,5,,
1192,Male,36,4,,
1193,Male,36,5,,
1194,Male,25,4,,
1195,Female,52,4,,
1196,Male,40,3,,
1197,Male,48,2,,
1198,Male,54,1,,
1199,Male,43,3,,
1200,Male,30,1,,
1201,Female,52,5,,
1202,Female,32,4,,
1203,Male,45,1,,
1204,Female,35,2,,
1205,Male,56,2,,
1206,Male,29,5,,
1207,Male,50,4,,
1208,Male,43,5,,
1209,Male,26,4,,
1210,Other,52,4,,
1211,Female,44,2,,
1212,Male,26,2,,
1213,Male,58,5,,
1214,Female,57,2,,
1215,Male,22,1,,
1216,Female,34,4,,
1217,Other,57,1,,
1218,Female,55,3,,
1219,Male,57,4,,
1220,Female,34,2,,
1221,Female,49,2,,
1222,Female,46,3,,
1223,Other,59,5,,
1224,Female,29,2,,
1225,Male,39,3,,
1226,Male,36,1,,
1227,Female,35,3,,
1228,Male,32,2,,
1229,Female,44,2,,
1230,Male,38,5,,
1231,Male,22,1,,
1232,Female,44,2,,
1233,Female,35,5,,
1234,Male,30,4,,
1235,Male,43,2,,
1236,Female,25,4,,
1237,Male,41,3,,
1238,Female,38,5,,
1239,Female,59,5,,
1240,Male,32,1,,
1241,Male,30,4,,
1242,Female,24,2,,
1243,Male,31,4,,
1244,Other,51,5,,
1245,Female,35,5,,
1246,Female,34,2,,
